host,manager,dow,event_day,rain,dishwasher_down,low_inventory,meal,predicted_sales,server,server_marginal,assigned_role
David,Sarah,6,1,1,0,0,Dinner,5035.6,Emma,235.8,Closer
David,Sarah,6,1,1,0,0,Dinner,5035.6,Isabella,223.7,Closer
David,Sarah,6,1,1,0,0,Dinner,5035.6,Lucas,169.9,Mid Shift
David,Sarah,6,1,1,0,0,Dinner,5035.6,Mia,151.9,Mid Shift
David,Sarah,6,1,1,0,0,Dinner,5035.6,Noah,130.8,First Cut
David,Sarah,6,1,1,0,0,Dinner,5035.6,James,122.0,First Cut
David,Sarah,6,1,1,0,0,Dinner,5018.4,Emma,235.8,Closer
David,Sarah,6,1,1,0,0,Dinner,5018.4,Isabella,221.9,Closer
David,Sarah,6,1,1,0,0,Dinner,5018.4,Lucas,169.9,Mid Shift
David,Sarah,6,1,1,0,0,Dinner,5018.4,Mia,151.9,Mid Shift
David,Sarah,6,1,1,0,0,Dinner,5018.4,Noah,130.8,First Cut
David,Sarah,6,1,1,0,0,Dinner,5018.4,Ella,104.8,First Cut
David,Sarah,6,1,1,0,0,Dinner,5013.2,Emma,325.9,Closer
David,Sarah,6,1,1,0,0,Dinner,5013.2,Isabella,310.2,Closer
David,Sarah,6,1,1,0,0,Dinner,5013.2,Lucas,258.2,Mid Shift
David,Sarah,6,1,1,0,0,Dinner,5013.2,Mia,240.2,Mid Shift
David,Sarah,6,1,1,0,0,Dinner,5013.2,Noah,219.1,First Cut
David,Sarah,6,1,1,0,0,Dinner,5013.2,Sophia,187.9,First Cut
David,Sarah,6,1,1,0,0,Dinner,5009.6,Emma,105.0,Closer
David,Sarah,6,1,1,0,0,Dinner,5009.6,Isabella,92.9,Closer
David,Sarah,6,1,1,0,0,Dinner,5009.6,Lucas,39.1,Mid Shift
David,Sarah,6,1,1,0,0,Dinner,5009.6,Mia,19.3,Mid Shift
David,Sarah,6,1,1,0,0,Dinner,5009.6,James,-8.8,First Cut
David,Sarah,6,1,1,0,0,Dinner,5009.6,Ella,-26.0,First Cut
David,Sarah,6,1,1,0,0,Dinner,5004.4,Emma,239.4,Closer
David,Sarah,6,1,1,0,0,Dinner,5004.4,Isabella,227.3,Closer
David,Sarah,6,1,1,0,0,Dinner,5004.4,Lucas,171.7,Mid Shift
David,Sarah,6,1,1,0,0,Dinner,5004.4,Mia,153.7,Mid Shift
David,Sarah,6,1,1,0,0,Dinner,5004.4,James,123.8,First Cut
David,Sarah,6,1,1,0,0,Dinner,5004.4,Sophia,99.6,First Cut
